Timestamp,Speed,RPM,Temp,Fuel,FL_Accel,FL_Gyro,FL_Susp,FL_StrainL,FL_StrainR,FR_Accel,FR_Gyro,FR_Susp,FR_StrainL,FR_StrainR,RL_Accel,RL_Gyro,RL_Susp,RL_StrainL,RL_StrainR,RR_Accel,RR_Gyro,RR_Susp,RR_StrainL,RR_StrainR,Pi_Accel,Pi_Gyro
1769900691296,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38805.0,0.0,0.0,13593.0,33429.0,50256.0,0.0,3.13667E-319,58389.0,40853.0,45461.0,6.3E-322,3.13667E-319,58389.0,46229.0,46485.0,0.0,0.0
1769900691330,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38805.0,0.0,0.0,13593.0,35221.0,54095.0,0.0,3.13667E-319,58389.0,40853.0,45461.0,6.3E-322,3.13667E-319,58389.0,46229.0,46485.0,0.0,0.0
1769900691364,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,38805.0,0.0,0.0,13593.0,35221.0,54095.0,0.0,3.1493E-319,58389.0,46485.0,45717.0,6.3E-322,3.1493E-319,58389.0,46485.0,45717.0,0.0,0.0
1769900691398,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,35221.0,54095.0,0.0,3.1493E-319,58389.0,46485.0,45717.0,6.3E-322,3.1493E-319,58389.0,46485.0,45717.0,0.0,0.0
1769900691432,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,35221.0,54095.0,0.0,3.1493E-319,58389.0,42901.0,45973.0,6.3E-322,3.1493E-319,58389.0,46485.0,45717.0,0.0,0.0
1769900691466,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,35221.0,54095.0,0.0,3.09873E-319,58389.0,46485.0,45717.0,6.3E-322,3.1114E-319,58389.0,47509.0,45717.0,0.0,0.0
1769900691500,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44437.0,0.0,0.0,13593.0,32661.0,23888.0,0.0,3.09873E-319,58389.0,46485.0,45717.0,6.3E-322,3.1114E-319,58389.0,47509.0,45717.0,0.0,0.0
1769900691534,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,32661.0,23888.0,0.0,3.09873E-319,58389.0,46485.0,45717.0,6.3E-322,3.1114E-319,58389.0,47509.0,45717.0,0.0,0.0
1769900691567,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,32661.0,23888.0,0.0,3.12403E-319,58389.0,47253.0,45717.0,6.3E-322,3.12403E-319,58389.0,45973.0,45461.0,0.0,0.0
1769900691601,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,32661.0,23888.0,0.0,3.12403E-319,58389.0,44437.0,46485.0,6.3E-322,3.12403E-319,58389.0,45973.0,45461.0,0.0,0.0
1769900691635,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,34709.0,80.0,0.0,3.12403E-319,58389.0,44437.0,46485.0,6.3E-322,3.12403E-319,58389.0,45973.0,45461.0,0.0,0.0
1769900691669,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,65429.0,44181.0,0.0,0.0,13593.0,34709.0,80.0,0.0,3.09873E-319,58389.0,45973.0,44949.0,6.3E-322,3.1114E-319,58389.0,48021.0,46485.0,0.0,0.0
